2025-08-18 12:20:17,143 - INFO - resource_monitor - cpu=10.7% load1=2.05 | mem_used=6351.9MB mem_avail=26603.9MB mem_pct=20.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=58.6MB net_recv=67.6MB | proc_rss=4648.4MB proc_vms=76621.1MB | proc_cpu=273.8% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:19,150 - INFO - resource_monitor - cpu=13.3% load1=3.25 | mem_used=6375.2MB mem_avail=26580.6MB mem_pct=20.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=58.9MB net_recv=68.0MB | proc_rss=4680.8MB proc_vms=76693.6MB | proc_cpu=365.7% | gpu0: mem_used=1471.5MB/ 17171.5MB, util=23%
2025-08-18 12:20:21,153 - INFO - resource_monitor - cpu=9.6% load1=3.25 | mem_used=6387.4MB mem_avail=26568.3MB mem_pct=20.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=59.2MB net_recv=68.3MB | proc_rss=4685.2MB proc_vms=76732.2MB | proc_cpu=251.0% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=16%
2025-08-18 12:20:23,158 - INFO - resource_monitor - cpu=8.0% load1=3.15 | mem_used=6393.5MB mem_avail=26562.2MB mem_pct=20.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=59.9MB net_recv=68.9MB | proc_rss=4699.6MB proc_vms=76746.8MB | proc_cpu=208.8% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:25,167 - INFO - resource_monitor - cpu=12.2% load1=3.15 | mem_used=6412.0MB mem_avail=26543.7MB mem_pct=20.6% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=60.2MB net_recv=69.3MB | proc_rss=4719.9MB proc_vms=76830.2MB | proc_cpu=339.2% | gpu0: mem_used=1693.8MB/ 17171.5MB, util=26%
2025-08-18 12:20:27,171 - INFO - resource_monitor - cpu=9.2% load1=3.15 | mem_used=6420.1MB mem_avail=26535.5MB mem_pct=20.7% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=60.5MB net_recv=69.6MB | proc_rss=4721.0MB proc_vms=76850.0MB | proc_cpu=240.1% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=6%
2025-08-18 12:20:29,177 - INFO - resource_monitor - cpu=9.2% load1=3.14 | mem_used=6432.7MB mem_avail=26522.9MB mem_pct=20.7% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=61.1MB net_recv=70.2MB | proc_rss=4724.6MB proc_vms=76853.1MB | proc_cpu=218.8% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:31,186 - INFO - resource_monitor - cpu=13.0% load1=3.14 | mem_used=6436.2MB mem_avail=26519.5MB mem_pct=20.7% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=61.5MB net_recv=70.5MB | proc_rss=4727.5MB proc_vms=76900.9MB | proc_cpu=372.1% | gpu0: mem_used=1410.6MB/ 17171.5MB, util=30%
2025-08-18 12:20:33,190 - INFO - resource_monitor - cpu=8.5% load1=3.04 | mem_used=6437.1MB mem_avail=26518.7MB mem_pct=20.7% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=62.1MB net_recv=71.2MB | proc_rss=4731.7MB proc_vms=76905.4MB | proc_cpu=229.3% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:35,198 - INFO - resource_monitor - cpu=12.5% load1=3.04 | mem_used=6439.6MB mem_avail=26516.6MB mem_pct=20.7% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=62.5MB net_recv=71.5MB | proc_rss=4731.7MB proc_vms=76905.4MB | proc_cpu=360.7% | gpu0: mem_used=1683.3MB/ 17171.5MB, util=0%
2025-08-18 12:20:37,204 - INFO - resource_monitor - cpu=10.8% load1=3.04 | mem_used=6441.4MB mem_avail=26514.2MB mem_pct=20.7% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=62.8MB net_recv=71.8MB | proc_rss=4732.2MB proc_vms=76942.1MB | proc_cpu=297.7% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=11%
2025-08-18 12:20:39,209 - INFO - resource_monitor - cpu=10.7% load1=3.04 | mem_used=6453.6MB mem_avail=26502.0MB mem_pct=20.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=63.4MB net_recv=72.5MB | proc_rss=4742.2MB proc_vms=76989.5MB | proc_cpu=256.4% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:41,213 - INFO - resource_monitor - cpu=10.3% load1=3.04 | mem_used=6456.8MB mem_avail=26498.8MB mem_pct=20.8% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=63.7MB net_recv=72.8MB | proc_rss=4743.2MB proc_vms=76989.5MB | proc_cpu=289.3% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=13%
2025-08-18 12:20:43,219 - INFO - resource_monitor - cpu=10.3% load1=2.96 | mem_used=4743.6MB mem_avail=28212.4MB mem_pct=15.7% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=64.3MB net_recv=73.4MB | proc_rss=3026.9MB proc_vms=75276.6MB | proc_cpu=280.8% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
2025-08-18 12:20:45,227 - INFO - resource_monitor - cpu=20.4% load1=2.96 | mem_used=6348.9MB mem_avail=26606.4MB mem_pct=20.5% | disk_used=181.15GB/1081.10GB (17.7%) | net_sent=64.7MB net_recv=73.7MB | proc_rss=4657.0MB proc_vms=76929.5MB | proc_cpu=603.1% | gpu0: mem_used=1404.4MB/ 17171.5MB, util=0%
